Group,Item,Content,Spec,category,period,updatetime
中心加压研磨机（03）,压力杆上的螺丝有无松动,压力杆上的螺丝有无松动,,1,1,2018/7/19 20:17
中心加压研磨机（03）,研磨机底盘有无异常晃动,研磨机底盘有无异常晃动,,1,1,2018/7/19 20:17
振动试验机(28),报警器是否正常,报警器是否正常,,1,1,2018/7/19 20:17
振动试验机(28),机器各部开关是否正常,机器各部开关是否正常,,1,1,2018/7/19 20:17
振动试验机(28),机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
振动试验机(28),振动频率设置是否正常,振动频率设置是否正常,,1,1,2018/7/19 20:17
真空干燥箱（46）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
真空干燥箱（46）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
真空干燥箱（46）,机箱内是否干净,机箱内是否干净,,1,1,2018/7/19 20:17
真空干燥箱（46）,门拉手是否灵活,门拉手是否灵活,,1,1,2018/7/19 20:17
真空干燥箱（46）,气压表显示是否正常,气压表显示是否正常,,1,1,2018/7/19 20:17
真空干燥箱（46）,真空泵是否正常运行,真空泵是否正常运行,,1,1,2018/7/19 20:17
盐雾试验机(27),机器控制开关是否正常工作,机器控制开关是否正常工作,,1,1,2018/7/19 20:17
盐雾试验机(27),机器时间设定是否正常,机器时间设定是否正常,,1,1,2018/7/19 20:17
盐雾试验机(27),机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
盐雾试验机(27),机器温度控制是否正常,机器温度控制是否正常,,1,1,2018/7/19 20:17
盐雾试验机(27),气压开关调节是否正常,气压开关调节是否正常,,1,1,2018/7/19 20:17
盐雾试验机(27),箱体内部是否干净,箱体内部是否干净,,1,1,2018/7/19 20:17
盐雾试验机(27),箱体是否完全密封,箱体是否完全密封,,1,1,2018/7/19 20:17
显微镜（25),灯光亮度是否正常,灯光亮度是否正常,,1,1,2018/7/19 20:17
显微镜（25),机器表面是否干净,机器表面是否干净,,1,1,2018/7/19 20:17
显微镜（25),清洁显微镜的目镜及物镜,清洁显微镜的目镜及物镜,,1,1,2018/7/19 20:17
显微镜（25),清洁显微镜的目镜及物镜,清洁显微镜的目镜及物镜,,1,1,2018/7/19 20:17
显微镜（25),仪器升降是否正常,仪器升降是否正常,,1,1,2018/7/19 20:17
显微镜 (三楼)（24）,灯光亮度是否正常,灯光亮度是否正常,,1,1,2018/7/19 20:17
显微镜 (三楼)（24）,机器表面是否干净,机器表面是否干净,,1,1,2018/7/19 20:17
显微镜 (三楼)（24）,清洁显微镜的目镜及物镜,清洁显微镜的目镜及物镜,,1,1,2018/7/19 20:17
显微镜 (三楼)（24）,仪器升降是否正常,仪器升降是否正常,,1,1,2018/7/19 20:17
调芯仪 (49),2.5mm 1.25mm夹具是否有松动现象,2.5mm 1.25mm夹具是否有松动现象,,1,1,2018/7/19 20:17
调芯仪 (49),标准件在合格范围之内,标准件在合格范围之内,,1,1,2018/7/19 20:17
调芯仪 (49),各线接口无松动,各线接口无松动,,1,1,2018/7/19 20:17
调芯仪 (49),机器外观干净,机器外观干净,,1,1,2018/7/19 20:17
调芯仪 (49),夹具螺丝是否紧固定,夹具螺丝是否紧固定,,1,1,2018/7/19 20:17
调芯仪 (49),焦距调节正常,焦距调节正常,,1,1,2018/7/19 20:17
调芯仪 (49),图像是否清晰，各部件开关灵活,图像是否清晰，各部件开关灵活,,1,1,2018/7/19 20:17
调节架(52),机台各部件螺丝有无松动,机台各部件螺丝有无松动,,1,1,2018/7/19 20:17
调节架(52),检查X Y Z轴是否灵活,检查X Y Z轴是否灵活,,1,1,2018/7/19 20:17
调节架(52),检查调节架是否在脏物与灰尘,检查调节架是否在脏物与灰尘,,1,1,2018/7/19 20:17
台钻(26),底盘上升及下降是否灵活,底盘上升及下降是否灵活,,1,1,2018/7/19 20:17
台钻(26),机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
台钻(26),机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
台钻(26),夹头能否夹紧钻头,夹头能否夹紧钻头,,1,1,2018/7/19 20:17
台钻(26),运转有无摆动,运转有无摆动,,1,1,2018/7/19 20:17
四角加压研磨机（01）,电源线是正常,电源线是正常,,1,1,2018/7/19 20:17
四角加压研磨机（01）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
四角加压研磨机（01）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
四角加压研磨机（01）,排气扇是否正常运转,排气扇是否正常运转,,1,1,2018/7/19 20:17
四角加压研磨机（01）,四角螺丝调节是否顺畅,四角螺丝调节是否顺畅,,1,1,2018/7/19 20:17
四角加压研磨机（01）,研磨机底盘有无晃动,研磨机底盘有无晃动,,1,1,2018/7/19 20:17
手动压接机（22）,齿轮是否缺油,齿轮是否缺油,,1,1,2018/7/19 20:17
手动压接机（22）,弹簧有无变形,弹簧有无变形,,1,1,2018/7/19 20:17
手动压接机（22）,机台各部件螺丝是否松动,机台各部件螺丝是否松动,,1,1,2018/7/19 20:17
手动压接机（22）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
手动压接机（22）,手柄压接是否顺畅,手柄压接是否顺畅,,1,1,2018/7/19 20:17
手动压接机（22）,限位螺丝是否变形,限位螺丝是否变形,,1,1,2018/7/19 20:17
手动压接机（22）,压接磨具是否磨损,压接磨具是否磨损,,1,1,2018/7/19 20:17
手动弹簧拉压试验机(56),机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
手动弹簧拉压试验机(56),机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
手动弹簧拉压试验机(56),检查变形量显示尺是否准确,检查变形量显示尺是否准确,,1,1,2018/7/19 20:17
手动弹簧拉压试验机(56),检查测量盘是否有变形损坏,检查测量盘是否有变形损坏,,1,1,2018/7/19 20:17
手动弹簧拉压试验机(56),检查测量手柄是否灵活,检查测量手柄是否灵活,,1,1,2018/7/19 20:17
十倍放大镜（23）,机器各部开关是否灵活,机器各部开关是否灵活,,1,1,2018/7/19 20:17
十倍放大镜（23）,机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
十倍放大镜（23）,镜面有无划伤痕迹,镜面有无划伤痕迹,,1,1,2018/7/19 20:17
十倍放大镜（23）,螺丝是否灵活,螺丝是否灵活,,1,1,2018/7/19 20:17
十倍放大镜（23）,压杆是否灵活,压杆是否灵活,,1,1,2018/7/19 20:17
熔接机(38),按键（开关、旋钮）操作是否正常,按键（开关、旋钮）操作是否正常,,1,1,2018/7/19 20:17
熔接机(38),机器表面是否清洁,机器表面是否清洁,,1,1,2018/7/19 20:17
熔接机(38),机器放电校正是否正常,机器放电校正是否正常,,1,1,2018/7/19 20:17
熔接机(38),机器内内侧V槽是否整洁,机器内内侧V槽是否整洁,,1,1,2018/7/19 20:17
熔接机(38),机器有无过热现象,机器有无过热现象,,1,1,2018/7/19 20:17
熔接机(38),清洁熔接机上的镜头,清洁熔接机上的镜头,,1,1,2018/7/19 20:17
熔接机(38),设备能否正常开机使用,设备能否正常开机使用,,1,1,2018/7/19 20:17
热盘(40),按键操作是否正常,按键操作是否正常,,1,1,2018/7/19 20:17
热盘(40),机器表面是否清洁,机器表面是否清洁,,1,1,2018/7/19 20:17
热盘(40),机器能否正常开机使用,机器能否正常开机使用,,1,1,2018/7/19 20:17
热盘(40),机器有无过热现象,机器有无过热现象,,1,1,2018/7/19 20:17
热盘(40),检验设定温度与实际温度的差别,检验设定温度与实际温度的差别,,1,1,2018/7/19 20:17
热盘(40),实测温度多少,实测温度多少,,1,1,2018/7/19 20:17
热盘(40),温度是否能达到要求,温度是否能达到要求,,1,1,2018/7/19 20:17
热风机(31),档位切换是否灵活,档位切换是否灵活,,1,1,2018/7/19 20:17
热风机(31),电源线是否破皮现象,电源线是否破皮现象,,1,1,2018/7/19 20:17
热风机(31),各部件螺丝有无松动,各部件螺丝有无松动,,1,1,2018/7/19 20:17
热风机(31),机器声音是否正常,机器声音是否正常,,1,1,2018/7/19 20:17
热风机(31),调节温度开关是否正常,调节温度开关是否正常,,1,1,2018/7/19 20:17
热风机(31),外观是否干净,外观是否干净,,1,1,2018/7/19 20:17
热剥钳(33),刀口是否磨损变形,刀口是否磨损变形,,1,1,2018/7/19 20:17
热剥钳(33),加热是否正常,加热是否正常,,1,1,2018/7/19 20:17
热剥钳(33),外观是否干净,外观是否干净,,1,1,2018/7/19 20:17
热剥机(43),按键（开关、旋钮）操作是否正常,按键（开关、旋钮）操作是否正常,,1,1,2018/7/19 20:17
热剥机(43),刀片有无损伤,刀片有无损伤,,1,1,2018/7/19 20:17
热剥机(43),电源插头有无生锈,电源插头有无生锈,,1,1,2018/7/19 20:17
热剥机(43),设备表面是否清洁,设备表面是否清洁,,1,1,2018/7/19 20:17
热剥机(43),设备电源电压是否正常,设备电源电压是否正常,,1,1,2018/7/19 20:17
热剥机(43),设备能否正常开机使用,设备能否正常开机使用,,1,1,2018/7/19 20:17
热剥机(43),用点温计检查温度是否在90℃±5℃范围内,用点温计检查温度是否在90℃±5℃范围内,,1,1,2018/7/19 20:17
气体(50),序号,序号,,1,1,2018/7/19 20:17
气动压接机（17）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
气动压接机（17）,脚踏开关是否灵活,脚踏开关是否灵活,,1,1,2018/7/19 20:17
气动压接机（17）,磨具有无磨损,磨具有无磨损,,1,1,2018/7/19 20:17
气动压接机（17）,气管接口有无漏气,气管接口有无漏气,,1,1,2018/7/19 20:17
气动压接机（17）,气源处理器调节是否正常,气源处理器调节是否正常,,1,1,2018/7/19 20:17
气动压接机（17）,上模及底模螺丝是否松动,上模及底模螺丝是否松动,,1,1,2018/7/19 20:17
气动压接机（17）,调节上模螺母是否顺畅,调节上模螺母是否顺畅,,1,1,2018/7/19 20:17
平面研磨机抛光机（60),粗磨盘/抛光皮与底盘是否脱胶,粗磨盘/抛光皮与底盘是否脱胶,,1,1,2018/7/19 20:17
平面研磨机抛光机（60),粗磨盘厚度是否≥0.5mm,粗磨盘厚度是否≥0.5mm,,1,1,2018/7/19 20:17
平面研磨机抛光机（60),粗磨盘换盘日期及修面日期,粗磨盘换盘日期及修面日期,,1,1,2018/7/19 20:17
平面研磨机抛光机（60),检查研磨盘螺丝是否变形松动,检查研磨盘螺丝是否变形松动,,1,1,2018/7/19 20:17
平面研磨机抛光机（60),搅拌桶与蠕动泵是否正常,搅拌桶与蠕动泵是否正常,,1,1,2018/7/19 20:17
平面研磨机抛光机（60),盘面是否有划痕，崩口，脏污,盘面是否有划痕，崩口，脏污,,1,1,2018/7/19 20:17
平面研磨机抛光机（60),研磨机各指示灯是否正常工作,研磨机各指示灯是否正常工作,,1,1,2018/7/19 20:17
喷码机（18）,感觉开关是否灵敏,感觉开关是否灵敏,,1,1,2018/7/19 20:17
喷码机（18）,机箱外观是否干净,机箱外观是否干净,,1,1,2018/7/19 20:17
喷码机（18）,"检测机器墨水,稀释量是否有报警","检测机器墨水,稀释量是否有报警",,1,1,2018/7/19 20:17
喷码机（18）,检查喷头是否保持干净,检查喷头是否保持干净,,1,1,2018/7/19 20:17
喷码机（18）,喷码机是否有漏墨,喷码机是否有漏墨,,1,1,2018/7/19 20:17
喷码机（18）,印字是否清晰,印字是否清晰,,1,1,2018/7/19 20:17
喷码机（18）,转轮是否洁净,转轮是否洁净,,1,1,2018/7/19 20:17
离心脱泡机（19）,电源开关是否正常,电源开关是否正常,,1,1,2018/7/19 20:17
离心脱泡机（19）,机器内是否干净,机器内是否干净,,1,1,2018/7/19 20:17
离心脱泡机（19）,机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
离心脱泡机（19）,机器转速是否正常,机器转速是否正常,,1,1,2018/7/19 20:17
离心脱泡机（19）,时间设置是否准确,时间设置是否准确,,1,1,2018/7/19 20:17
离心脱泡机（19）,运转时有无噪音,运转时有无噪音,,1,1,2018/7/19 20:17
冷盘(41),按键操作是否正常,按键操作是否正常,,1,1,2018/7/19 20:17
冷盘(41),机器能否正常开机使用,机器能否正常开机使用,,1,1,2018/7/19 20:17
冷盘(41),机器平台 表面是否清洁,机器平台 表面是否清洁,,1,1,2018/7/19 20:17
冷盘(41),机器有无过热现象,机器有无过热现象,,1,1,2018/7/19 20:17
冷盘(41),实测温度多少,实测温度多少,,1,1,2018/7/19 20:17
冷盘(41),温度是否能达到要求,温度是否能达到要求,,1,1,2018/7/19 20:17
监视器及端面检测仪（20）,插头有无磨损,插头有无磨损,,1,1,2018/7/19 20:17
监视器及端面检测仪（20）,电源线及指示灯是否正常,电源线及指示灯是否正常,,1,1,2018/7/19 20:17
监视器及端面检测仪（20）,机台开关是否正常,机台开关是否正常,,1,1,2018/7/19 20:17
监视器及端面检测仪（20）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
监视器及端面检测仪（20）,监视器画面有无斑点,监视器画面有无斑点,,1,1,2018/7/19 20:17
监视器及端面检测仪（20）,镜头是否干净,镜头是否干净,,1,1,2018/7/19 20:17
监视器及端面检测仪（20）,数据线是否松动,数据线是否松动,,1,1,2018/7/19 20:17
极性测试仪(55),定期清洁MPO测试接口,定期清洁MPO测试接口,,1,1,2018/7/19 20:17
极性测试仪(55),机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
极性测试仪(55),机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
极性测试仪(55),脚踏开关是否灵活,脚踏开关是否灵活,,1,1,2018/7/19 20:17
烘干炉（21）,机器各部开关是否灵活,机器各部开关是否灵活,,1,1,2018/7/19 20:17
烘干炉（21）,机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
烘干炉（21）,机箱内是否干净,机箱内是否干净,,1,1,2018/7/19 20:17
烘干炉（21）,实测温度是多少,实测温度是多少,,1,1,2018/7/19 20:17
烘干炉（21）,温度上升是否正常,温度上升是否正常,,1,1,2018/7/19 20:17
烘干炉（21）,箱门是否灵活开关,箱门是否灵活开关,,1,1,2018/7/19 20:17
恒温箱(30),按键操作是否正常,按键操作是否正常,,1,1,2018/7/19 20:17
恒温箱(30),机器表面是否清洁,机器表面是否清洁,,1,1,2018/7/19 20:17
恒温箱(30),机器能否正常开机使用,机器能否正常开机使用,,1,1,2018/7/19 20:17
恒温箱(30),机器有无噪音,机器有无噪音,,1,1,2018/7/19 20:17
恒温箱(30),设置温度是否稳定正常,设置温度是否稳定正常,,1,1,2018/7/19 20:17
恒温箱(30),箱门是否灵活,箱门是否灵活,,1,1,2018/7/19 20:17
恒温箱(30),箱体内是否有脏物与灰尘,箱体内是否有脏物与灰尘,,1,1,2018/7/19 20:17
光源(36),按键操作是否正常,按键操作是否正常,,1,1,2018/7/19 20:17
光源(36),光源输出功率是否稳定,光源输出功率是否稳定,,1,1,2018/7/19 20:17
光源(36),机器表面是否清洁,机器表面是否清洁,,1,1,2018/7/19 20:17
光源(36),机器有无过热现象,机器有无过热现象,,1,1,2018/7/19 20:17
光源(36),输出光功率是否达到要求,输出光功率是否达到要求,,1,1,2018/7/19 20:17
光纤头自动组装机（61）,检查感应器是否正常,检查感应器是否正常,,1,1,2018/7/19 20:17
光纤头自动组装机（61）,检查机器是否干净,检查机器是否干净,,1,1,2018/7/19 20:17
光纤头自动组装机（61）,检查每个调节阀螺丝是否出现松动,检查每个调节阀螺丝是否出现松动,,1,1,2018/7/19 20:17
光纤头自动组装机（61）,检查每个组装位置是否对准,检查每个组装位置是否对准,,1,1,2018/7/19 20:17
光纤头自动组装机（61）,检查振盘上料是否顺畅,检查振盘上料是否顺畅,,1,1,2018/7/19 20:17
光纤头自动组装机（61）,检查转盘旋转是否正常,检查转盘旋转是否正常,,1,1,2018/7/19 20:17
光纤头自动组装机（61）,清洁振盘内灰尘碎屑,清洁振盘内灰尘碎屑,,1,1,2018/7/19 20:17
光束分析仪(51),CMOS相机表面是否洁净,CMOS相机表面是否洁净,,1,1,2018/7/19 20:17
光束分析仪(51),参数值是否处于调节规格内,参数值是否处于调节规格内,,1,1,2018/7/19 20:17
光束分析仪(51),产品调节位置是否正对相机,产品调节位置是否正对相机,,1,1,2018/7/19 20:17
光束分析仪(51),单纤调节1工位参数值（510±10）,单纤调节1工位参数值（510±10）,,1,1,2018/7/19 20:17
光束分析仪(51),单纤调节2工位参数值（540±10）,单纤调节2工位参数值（540±10）,,1,1,2018/7/19 20:17
光束分析仪(51),设备能否正常开机使用,设备能否正常开机使用,,1,1,2018/7/19 20:17
光束分析仪(51),"相机到右侧调节架距离是否满足
要求（8±0.2cm）","相机到右侧调节架距离是否满足
要求（8±0.2cm）",,1,1,2018/7/19 20:17
光束分析仪(51),序号,序号,,1,1,2018/7/19 20:17
固化炉（16）,风扇是否正常运转,风扇是否正常运转,,1,1,2018/7/19 20:17
固化炉（16）,机台各部件螺丝有无松动,机台各部件螺丝有无松动,,1,1,2018/7/19 20:17
固化炉（16）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
固化炉（16）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
固化炉（16）,加温棒是否安全,加温棒是否安全,,1,1,2018/7/19 20:17
固化炉（16）,时间继电器及温度设置是否正常,时间继电器及温度设置是否正常,,1,1,2018/7/19 20:17
固化炉（16）,温度上升是否正常,温度上升是否正常,,1,1,2018/7/19 20:17
功率计(37),按键操作是否正常,按键操作是否正常,,1,1,2018/7/19 20:17
功率计(37),归零是否正常,归零是否正常,,1,1,2018/7/19 20:17
功率计(37),机器表面是否清洁,机器表面是否清洁,,1,1,2018/7/19 20:17
功率计(37),机器能否正常开机使用,机器能否正常开机使用,,1,1,2018/7/19 20:17
功率计(37),机器有无过热现象,机器有无过热现象,,1,1,2018/7/19 20:17
功率计(37),清洁适配器底座与裸纤适配器,清洁适配器底座与裸纤适配器,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,搁板有无生锈,搁板有无生锈,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,机箱内是否干净整齐,机箱内是否干净整齐,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,连接导线是否牢固,连接导线是否牢固,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,门拉手是否灵活，,门拉手是否灵活，,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,温度上升是否正常,温度上升是否正常,,1,1,2018/7/19 20:17
高低温交变湿热试验箱（15）,序号,序号,,1,1,2018/7/19 20:17
干燥机（58）,检查开关是否正常,检查开关是否正常,,1,1,2018/7/19 20:17
干燥机（58）,检查温度是否正常(20~40℃),检查温度是否正常(20~40℃),,1,1,2018/7/19 20:17
封口机（14）,导热片是否正常,导热片是否正常,,1,1,2018/7/19 20:17
封口机（14）,电源线是否正常,电源线是否正常,,1,1,2018/7/19 20:17
封口机（14）,隔热布有无损伤,隔热布有无损伤,,1,1,2018/7/19 20:17
封口机（14）,海绵有无破损,海绵有无破损,,1,1,2018/7/19 20:17
封口机（14）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
封口机（14）,时间是否准确,时间是否准确,,1,1,2018/7/19 20:17
封口机（14）,指示灯是否正常,指示灯是否正常,,1,1,2018/7/19 20:17
电子防潮柜(42),按键（开关、旋钮）操作是否正常,按键（开关、旋钮）操作是否正常,,1,1,2018/7/19 20:17
电子防潮柜(42),电源插头有无生锈,电源插头有无生锈,,1,1,2018/7/19 20:17
电子防潮柜(42),隔板有无变形,隔板有无变形,,1,1,2018/7/19 20:17
电子防潮柜(42),设备表面是否清洁,设备表面是否清洁,,1,1,2018/7/19 20:17
电子防潮柜(42),设备电源电压是否正常,设备电源电压是否正常,,1,1,2018/7/19 20:17
电子防潮柜(42),设备能否正常开机使用,设备能否正常开机使用,,1,1,2018/7/19 20:17
电子防潮柜(42),温度点检值（25℃±5℃）,温度点检值（25℃±5℃）,,1,1,2018/7/19 20:17
电子称（13）,电源是否正常,电源是否正常,,1,1,2018/7/19 20:17
电子称（13）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
电子称（13）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
电子称（13）,水珠是否在中心位置,水珠是否在中心位置,,1,1,2018/7/19 20:17
电子称（13）,显示面板是否正常,显示面板是否正常,,1,1,2018/7/19 20:17
电热恒温鼓风干燥箱（12）,搁板有无生锈,搁板有无生锈,,1,1,2018/7/19 20:17
电热恒温鼓风干燥箱（12）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
电热恒温鼓风干燥箱（12）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
电热恒温鼓风干燥箱（12）,机箱内是否干净整齐,机箱内是否干净整齐,,1,1,2018/7/19 20:17
电热恒温鼓风干燥箱（12）,门拉手是否灵活,门拉手是否灵活,,1,1,2018/7/19 20:17
电热恒温鼓风干燥箱（12）,排气扇是否正常,排气扇是否正常,,1,1,2018/7/19 20:17
电热恒温鼓风干燥箱（12）,温度上升是否正常,温度上升是否正常,,1,1,2018/7/19 20:17
电冰箱（11）,储存温度20°C-25°C,储存温度20°C-25°C,,1,1,2018/7/19 20:17
电冰箱（11）,电机是否正常运转,电机是否正常运转,,1,1,2018/7/19 20:17
电冰箱（11）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
电冰箱（11）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
电冰箱（11）,机箱内是否干净整齐,机箱内是否干净整齐,,1,1,2018/7/19 20:17
电冰箱（11）,门拉手是否灵活,门拉手是否灵活,,1,1,2018/7/19 20:17
电冰箱（11）,温度是否正常,温度是否正常,,1,1,2018/7/19 20:17
点温计(35),部件按钮是否正常,部件按钮是否正常,,1,1,2018/7/19 20:17
点温计(35),电池是否正常供电,电池是否正常供电,,1,1,2018/7/19 20:17
点温计(35),探头是否正常使用,探头是否正常使用,,1,1,2018/7/19 20:17
点温计(35),外观是否干净,外观是否干净,,1,1,2018/7/19 20:17
点胶机（10）,电源线及电源指示灯是否正常,电源线及电源指示灯是否正常,,1,1,2018/7/19 20:17
点胶机（10）,各气管接口是否漏气,各气管接口是否漏气,,1,1,2018/7/19 20:17
点胶机（10）,机台外观是否干净,机台外观是否干净,,1,1,2018/7/19 20:17
点胶机（10）,脚踏开关是否灵活,脚踏开关是否灵活,,1,1,2018/7/19 20:17
点胶机（10）,手动及自动开关是否正常,手动及自动开关是否正常,,1,1,2018/7/19 20:17
点胶机（10）,调节气压阀是否正常,调节气压阀是否正常,,1,1,2018/7/19 20:17
点胶机（10）,调整时间是否准确,调整时间是否准确,,1,1,2018/7/19 20:17
低温冰柜(44),电机是否正常运转,电机是否正常运转,,1,1,2018/7/19 20:17
低温冰柜(44),机器各部开关是否灵活,机器各部开关是否灵活,,1,1,2018/7/19 20:17
低温冰柜(44),机器外观是否干净,机器外观是否干净,,1,1,2018/7/19 20:17
低温冰柜(44),门拉手是否灵活,门拉手是否灵活,,1,1,2018/7/19 20:17
低温冰柜(44),设置温度是否能达到要求,设置温度是否能达到要求,,1,1,2018/7/19 20:17
低温冰柜(44),温度是否正常,温度是否正常,,1,1,2018/7/19 20:17
除湿机（04）,出水管是否堵塞,出水管是否堵塞,,1,1,2018/7/19 20:17
除湿机（04）,过滤网是否干净,过滤网是否干净,,1,1,2018/7/19 20:17
除湿机（04）,机台各部开关是否灵活,机台各部开关是否灵活,,1,1,2018/7/19 20:17
